"id","fa_name","en_name","iso2","iso3","created_at","updated_at"
"1","ایران","Iran","IR","IRN","2026-02-21 15:29:48","2026-02-21 15:29:48"
"2","عراق","Iran","IQ","IRQ","2026-02-21 15:29:51","2026-02-21 15:29:51"
"3","ترکیه","Iran","TR","TUR","2026-02-21 15:29:51","2026-02-21 15:29:51"
"4","امارات متحده عربی","Iran","AE","ARE","2026-02-21 15:29:51","2026-02-21 15:29:51"
"5","تایلند","Iran","TH","THA","2026-02-21 15:29:51","2026-02-21 15:29:51"
"6","گرجستان","Iran","GE","GEO","2026-02-21 15:29:51","2026-02-21 15:29:51"
"7","ارمنستان","Iran","AM","ARM","2026-02-21 15:29:51","2026-02-21 15:29:51"
"8","آذربایجان","Iran","AZ","AZE","2026-02-21 15:29:51","2026-02-21 15:29:51"
"9","عمان","Iran","OM","OMN","2026-02-21 15:29:51","2026-02-21 15:29:51"
"10","چین","China","CN","CHN","2026-02-21 15:29:51","2026-02-21 15:29:51"
"11","افغانستان","Iran","AF","AFG","2026-02-21 15:29:51","2026-02-21 15:29:51"
"12","روسیه","Russia","RU","RUS","2026-02-21 15:29:51","2026-02-21 15:29:51"
"13","سوریه","Syria","SY","SYR","2026-02-21 15:29:51","2026-02-21 15:29:51"
"14","ازبکستان","Uzbekistan","UZ","UZB","2026-02-21 15:29:52","2026-02-21 15:29:52"
"15","لبنان","Lebanon","LB","IRN","2026-02-21 15:29:52","2026-02-21 15:29:52"
"16","بحرین","Bahrain","BA","BAH","2026-02-21 15:29:52","2026-02-21 15:29:52"
"17","کویت","Iran","KW","KWT","2026-02-21 15:29:52","2026-02-21 15:29:52"
"18","پاکستان","Pakestan","OP","IRN","2026-02-21 15:29:52","2026-02-21 15:29:52"
"19","تاجیکستان","Iran","TJ","TJK","2026-02-21 15:29:52","2026-02-21 15:29:52"
"20","تانزانیا","Iran","TZ","TZA","2026-02-21 15:29:53","2026-02-21 15:29:53"
"21","مصر","Iran","EG","EGY","2026-02-21 15:29:53","2026-02-21 15:29:53"
